Denominator(s+s0),Fold Change,Gene ID,Gene Name,Numerator(r),Score(d),direction,gpl,gse,index,log2foldChange,myGeneId,myGeneSym,q-value(%),subset
0.154,1.762,GI_34147645-S,GI_34147645-S,0.818,5.308,up,GPL2700,GSE13052,,0.818,8985.0,PLOD3,0.0,Acute
0.129,1.594,GI_39930516-S,GI_39930516-S,0.672,5.224,up,GPL2700,GSE13052,,0.672,90378.0,SAMD1,0.0,Acute
0.196,1.938,GI_13259507-A,GI_13259507-A,0.955,4.86,up,GPL2700,GSE13052,,0.955,1639.0,DCTN1,0.0,Acute
0.172,1.759,GI_29171690-I,GI_29171690-I,0.815,4.746,up,GPL2700,GSE13052,,0.815,10994.0,ILVBL,0.0,Acute
0.221,2.057,GI_4506076-S,GI_4506076-S,1.04,4.716,up,GPL2700,GSE13052,,1.04,5589.0,PRKCSH,0.0,Acute
0.176,1.748,GI_38570061-S,GI_38570061-S,0.806,4.57,up,GPL2700,GSE13052,,0.806,51608.0,GET4,0.0,Acute
0.15,1.608,GI_5729839-S,GI_5729839-S,0.685,4.564,up,GPL2700,GSE13052,,0.685,10844.0,TUBGCP2,0.0,Acute
0.162,1.66,GI_5031956-A,GI_5031956-A,0.731,4.512,up,GPL2700,GSE13052,,0.731,10084.0,PQBP1,0.0,Acute
0.208,1.908,GI_7656994-S,GI_7656994-S,0.932,4.474,up,GPL2700,GSE13052,,0.932,23589.0,CARHSP1,0.0,Acute
0.17,1.694,GI_37541554-S,GI_37541554-S,0.761,4.471,up,GPL2700,GSE13052,,0.761,,,0.0,Acute
0.17,1.684,GI_31541963-S,GI_31541963-S,0.752,4.436,up,GPL2700,GSE13052,,0.752,435.0,ASL,0.0,Acute
0.259,2.218,GI_5454157-S,GI_5454157-S,1.149,4.43,up,GPL2700,GSE13052,,1.149,7407.0,VARS,0.0,Acute
0.194,1.815,GI_20070179-S,GI_20070179-S,0.86,4.421,up,GPL2700,GSE13052,,0.86,1978.0,EIF4EBP1,0.0,Acute
0.162,1.641,GI_31543062-S,GI_31543062-S,0.714,4.418,up,GPL2700,GSE13052,,0.714,132158.0,GLYCTK,0.0,Acute
0.231,2.026,GI_20149581-S,GI_20149581-S,1.018,4.401,up,GPL2700,GSE13052,,1.018,8685.0,MARCO,0.0,Acute
0.172,1.686,GI_4503320-S,GI_4503320-S,0.754,4.385,up,GPL2700,GSE13052,,0.754,1717.0,DHCR7,0.0,Acute
0.224,1.978,GI_19923809-S,GI_19923809-S,0.984,4.384,up,GPL2700,GSE13052,,0.984,54867.0,TMEM214,0.0,Acute
0.262,2.213,GI_5803016-S,GI_5803016-S,1.146,4.368,up,GPL2700,GSE13052,,1.146,2354.0,FOSB,0.0,Acute
0.233,2.021,GI_19923216-S,GI_19923216-S,1.015,4.353,up,GPL2700,GSE13052,,1.015,4288.0,MKI67,0.0,Acute
0.197,1.808,GI_31542746-S,GI_31542746-S,0.854,4.339,up,GPL2700,GSE13052,,0.854,118881.0,COMTD1,0.0,Acute
0.204,1.84,GI_40353770-S,GI_40353770-S,0.879,4.32,up,GPL2700,GSE13052,,0.879,23246.0,BOP1,0.0,Acute
0.156,1.588,GI_37551911-S,GI_37551911-S,0.667,4.291,up,GPL2700,GSE13052,,0.667,64857.0,PLEKHG2,0.0,Acute
0.342,2.758,GI_6005957-S,GI_6005957-S,1.464,4.281,up,GPL2700,GSE13052,,1.464,11326.0,VSIG4,0.0,Acute
0.209,1.855,GI_7669491-S,GI_7669491-S,0.891,4.272,up,GPL2700,GSE13052,,0.891,2597.0,GAPDH,0.0,Acute
0.201,1.811,GI_23510339-A,GI_23510339-A,0.857,4.257,up,GPL2700,GSE13052,,0.857,7317.0,UBA1,0.0,Acute
0.181,1.706,GI_33286417-A,GI_33286417-A,0.771,4.257,up,GPL2700,GSE13052,,0.771,5315.0,PKM,0.0,Acute
0.292,2.363,GI_32307180-S,GI_32307180-S,1.24,4.243,up,GPL2700,GSE13052,,1.24,160518.0,DENND5B,0.0,Acute
0.181,1.702,GI_4507320-S,GI_4507320-S,0.767,4.227,up,GPL2700,GSE13052,,0.767,6839.0,SUV39H1,0.0,Acute
0.248,2.069,GI_8922831-S,GI_8922831-S,1.049,4.223,up,GPL2700,GSE13052,,1.049,55771.0,PRR11,0.0,Acute
0.151,1.556,GI_19718752-S,GI_19718752-S,0.638,4.213,up,GPL2700,GSE13052,,0.638,8314.0,BAP1,0.0,Acute
0.148,1.536,GI_4826699-S,GI_4826699-S,0.619,4.177,up,GPL2700,GSE13052,,0.619,1785.0,DNM2,0.0,Acute
0.16,1.584,GI_5453661-S,GI_5453661-S,0.664,4.156,up,GPL2700,GSE13052,,0.664,7841.0,MOGS,0.0,Acute
0.202,1.79,GI_19924136-S,GI_19924136-S,0.84,4.152,up,GPL2700,GSE13052,,0.84,8438.0,RAD54L,0.0,Acute
0.266,2.145,GI_17986280-S,GI_17986280-S,1.101,4.136,up,GPL2700,GSE13052,,1.101,140465.0,MYL6B,0.0,Acute
0.21,1.824,GI_5454073-S,GI_5454073-S,0.867,4.125,up,GPL2700,GSE13052,,0.867,9612.0,NCOR2,0.0,Acute
0.194,1.74,GI_11056017-S,GI_11056017-S,0.799,4.112,up,GPL2700,GSE13052,,0.799,60314.0,C12orf10,0.0,Acute
0.161,1.582,GI_6031166-S,GI_6031166-S,0.662,4.103,up,GPL2700,GSE13052,,0.662,8733.0,GPAA1,0.0,Acute
0.174,1.64,GI_20149523-S,GI_20149523-S,0.713,4.1,up,GPL2700,GSE13052,,0.713,6829.0,SUPT5H,0.0,Acute
0.306,2.382,GI_27498545-S,GI_27498545-S,1.252,4.098,up,GPL2700,GSE13052,,1.252,154467.0,CCDC167,0.0,Acute
0.217,1.851,GI_23097284-I,GI_23097284-I,0.888,4.088,up,GPL2700,GSE13052,,0.888,29781.0,NCAPH2,0.0,Acute
0.16,1.572,GI_32469514-S,GI_32469514-S,0.652,4.086,up,GPL2700,GSE13052,,0.652,254552.0,NUDT8,0.0,Acute
0.335,2.582,GI_23238205-S,GI_23238205-S,1.369,4.084,up,GPL2700,GSE13052,,1.369,23495.0,TNFRSF13B,0.0,Acute
0.206,1.788,GI_22208974-A,GI_22208974-A,0.838,4.072,up,GPL2700,GSE13052,,0.838,3159.0,HMGA1,0.0,Acute
0.186,1.688,GI_40254858-S,GI_40254858-S,0.755,4.06,up,GPL2700,GSE13052,,0.755,23277.0,CLUH,0.0,Acute
0.214,1.823,GI_7661621-S,GI_7661621-S,0.866,4.058,up,GPL2700,GSE13052,,0.866,25906.0,ANAPC15,0.0,Acute
0.123,1.412,GI_14670391-A,GI_14670391-A,0.498,4.049,up,GPL2700,GSE13052,,0.498,9031.0,BAZ1B,0.0,Acute
0.248,2.001,GI_27894283-S,GI_27894283-S,1.001,4.042,up,GPL2700,GSE13052,,1.001,5023.0,P2RX1,0.0,Acute
0.161,1.568,GI_32455258-I,GI_32455258-I,0.649,4.028,up,GPL2700,GSE13052,,0.649,25824.0,PRDX5,0.249,Acute
0.212,1.804,GI_31341967-S,GI_31341967-S,0.851,4.012,up,GPL2700,GSE13052,,0.851,89958.0,SAPCD2,0.249,Acute
0.354,2.67,GI_9257231-S,GI_9257231-S,1.417,4.004,up,GPL2700,GSE13052,,1.417,5004.0,ORM1,0.249,Acute
0.166,1.58,GI_6912699-A,GI_6912699-A,0.66,3.979,up,GPL2700,GSE13052,,0.66,,,0.249,Acute
0.244,1.962,GI_20070124-S,GI_20070124-S,0.972,3.978,up,GPL2700,GSE13052,,0.972,5034.0,P4HB,0.249,Acute
0.158,1.546,GI_41117409-S,GI_41117409-S,0.628,3.973,up,GPL2700,GSE13052,,0.628,6284.0,S100A13,0.249,Acute
0.177,1.624,GI_14971416-S,GI_14971416-S,0.699,3.963,up,GPL2700,GSE13052,,0.699,10155.0,TRIM28,0.249,Acute
0.184,1.656,GI_11056035-S,GI_11056035-S,0.728,3.962,up,GPL2700,GSE13052,,0.728,23170.0,TTLL12,0.249,Acute
0.222,1.827,GI_34222291-S,GI_34222291-S,0.87,3.916,up,GPL2700,GSE13052,,0.87,7064.0,THOP1,0.249,Acute
0.227,1.849,GI_21614498-S,GI_21614498-S,0.886,3.9,up,GPL2700,GSE13052,,0.886,7430.0,EZR,0.249,Acute
0.155,1.518,GI_4505176-S,GI_4505176-S,0.602,3.882,up,GPL2700,GSE13052,,0.602,4255.0,MGMT,0.249,Acute
0.12,1.378,GI_29570781-S,GI_29570781-S,0.462,3.838,up,GPL2700,GSE13052,,0.462,171023.0,ASXL1,0.249,Acute
0.185,1.633,GI_21071031-S,GI_21071031-S,0.708,3.831,up,GPL2700,GSE13052,,0.708,51428.0,DDX41,0.249,Acute
0.253,1.95,GI_6453817-S,GI_6453817-S,0.964,3.816,up,GPL2700,GSE13052,,0.964,3835.0,KIF22,0.249,Acute
0.152,1.493,GI_37552388-S,GI_37552388-S,0.578,3.799,up,GPL2700,GSE13052,,0.578,203069.0,R3HCC1,0.249,Acute
0.164,1.54,GI_29725606-I,GI_29725606-I,0.623,3.79,up,GPL2700,GSE13052,,0.623,55898.0,UNC45A,0.249,Acute
0.532,4.034,GI_4827035-S,GI_4827035-S,2.012,3.784,up,GPL2700,GSE13052,,2.012,8993.0,PGLYRP1,0.249,Acute
0.172,1.571,GI_40068510-S,GI_40068510-S,0.652,3.781,up,GPL2700,GSE13052,,0.652,2068.0,ERCC2,0.393,Acute
0.145,1.463,GI_32455261-A,GI_32455261-A,0.549,3.779,up,GPL2700,GSE13052,,0.549,25824.0,PRDX5,0.393,Acute
0.199,1.683,GI_21389314-S,GI_21389314-S,0.751,3.777,up,GPL2700,GSE13052,,0.751,6576.0,SLC25A1,0.393,Acute
0.341,2.438,GI_12597652-S,GI_12597652-S,1.286,3.775,up,GPL2700,GSE13052,,1.286,64943.0,NT5DC2,0.393,Acute
0.147,1.467,GI_40538792-S,GI_40538792-S,0.553,3.765,up,GPL2700,GSE13052,,0.553,54535.0,CCHCR1,0.393,Acute
0.17,1.557,GI_5803108-S,GI_5803108-S,0.639,3.764,up,GPL2700,GSE13052,,0.639,10956.0,OS9,0.393,Acute
0.147,1.465,GI_8923535-S,GI_8923535-S,0.551,3.76,up,GPL2700,GSE13052,,0.551,54985.0,HCFC1R1,0.393,Acute
0.172,1.566,GI_38201703-S,GI_38201703-S,0.647,3.76,up,GPL2700,GSE13052,,0.647,55684.0,RABL6,0.393,Acute
0.251,1.923,GI_4507190-S,GI_4507190-S,0.943,3.757,up,GPL2700,GSE13052,,0.943,6709.0,SPTAN1,0.393,Acute
0.206,1.71,GI_4504068-S,GI_4504068-S,0.774,3.751,up,GPL2700,GSE13052,,0.774,2806.0,GOT2,0.393,Acute
0.157,1.504,GI_17999536-S,GI_17999536-S,0.589,3.742,up,GPL2700,GSE13052,,0.589,10594.0,PRPF8,0.393,Acute
0.193,1.647,GI_34147355-S,GI_34147355-S,0.72,3.736,up,GPL2700,GSE13052,,0.72,79035.0,NABP2,0.393,Acute
0.122,1.372,GI_4505904-S,GI_4505904-S,0.457,3.73,up,GPL2700,GSE13052,,0.457,5372.0,PMM1,0.393,Acute
0.134,1.414,GI_41529828-S,GI_41529828-S,0.5,3.725,up,GPL2700,GSE13052,,0.5,,,0.393,Acute
0.206,1.699,GI_40255010-S,GI_40255010-S,0.765,3.718,up,GPL2700,GSE13052,,0.765,79939.0,SLC35E1,0.393,Acute
0.187,1.62,GI_22538479-A,GI_22538479-A,0.696,3.717,up,GPL2700,GSE13052,,0.696,10400.0,PEMT,0.393,Acute
0.197,1.658,GI_7705607-S,GI_7705607-S,0.73,3.713,up,GPL2700,GSE13052,,0.73,51011.0,FAHD2A,0.393,Acute
0.241,1.859,GI_23943857-S,GI_23943857-S,0.895,3.712,up,GPL2700,GSE13052,,0.895,29886.0,SNX8,0.393,Acute
0.309,2.213,GI_4504090-S,GI_4504090-S,1.146,3.708,up,GPL2700,GSE13052,,1.146,2852.0,GPER1,0.393,Acute
0.232,1.814,GI_20143980-S,GI_20143980-S,0.859,3.7,up,GPL2700,GSE13052,,0.859,7923.0,HSD17B8,0.393,Acute
0.19,1.629,GI_4505288-S,GI_4505288-S,0.704,3.697,up,GPL2700,GSE13052,,0.704,4597.0,MVD,0.393,Acute
0.232,1.813,GI_6912291-S,GI_6912291-S,0.858,3.693,up,GPL2700,GSE13052,,0.858,23468.0,CBX5,0.393,Acute
0.258,1.934,GI_39725694-S,GI_39725694-S,0.952,3.686,up,GPL2700,GSE13052,,0.952,1396.0,CRIP1,0.393,Acute
0.202,1.671,GI_4505932-S,GI_4505932-S,0.741,3.675,up,GPL2700,GSE13052,,0.741,5424.0,POLD1,0.393,Acute
0.239,1.835,GI_14211922-S,GI_14211922-S,0.876,3.671,up,GPL2700,GSE13052,,0.876,84681.0,HINT2,0.393,Acute
0.214,1.726,GI_34222200-S,GI_34222200-S,0.787,3.67,up,GPL2700,GSE13052,,0.787,126133.0,ALDH16A1,0.393,Acute
0.217,1.734,GI_31563365-A,GI_31563365-A,0.794,3.667,up,GPL2700,GSE13052,,0.794,128308.0,MRPL55,0.393,Acute
0.384,2.645,GI_42544164-A,GI_42544164-A,1.403,3.659,up,GPL2700,GSE13052,,1.403,2305.0,FOXM1,0.393,Acute
0.286,2.065,GI_21314631-S,GI_21314631-S,1.046,3.657,up,GPL2700,GSE13052,,1.046,6509.0,SLC1A4,0.393,Acute
0.231,1.794,GI_9910279-S,GI_9910279-S,0.843,3.646,up,GPL2700,GSE13052,,0.843,56886.0,UGGT1,0.393,Acute
0.217,1.73,GI_4501866-S,GI_4501866-S,0.79,3.644,up,GPL2700,GSE13052,,0.79,50.0,ACO2,0.393,Acute
0.244,1.846,GI_34485718-S,GI_34485718-S,0.885,3.632,up,GPL2700,GSE13052,,0.885,1870.0,E2F2,0.393,Acute
0.146,1.443,GI_9507202-S,GI_9507202-S,0.529,3.632,up,GPL2700,GSE13052,,0.529,54209.0,TREM2,0.393,Acute
0.184,1.587,GI_40068467-S,GI_40068467-S,0.666,3.63,up,GPL2700,GSE13052,,0.666,80142.0,PTGES2,0.393,Acute
0.227,1.77,GI_42476027-S,GI_42476027-S,0.824,3.625,up,GPL2700,GSE13052,,0.824,55210.0,ATAD3A,0.393,Acute
0.173,1.546,GI_21361917-S,GI_21361917-S,0.628,3.623,up,GPL2700,GSE13052,,0.628,64175.0,LEPRE1,0.393,Acute
0.217,1.725,GI_16117778-A,GI_16117778-A,0.787,3.621,up,GPL2700,GSE13052,,0.787,55294.0,FBXW7,0.393,Acute
0.227,1.766,GI_5453959-S,GI_5453959-S,0.82,3.618,up,GPL2700,GSE13052,,0.82,10567.0,RABAC1,0.393,Acute
0.172,1.538,GI_4502564-S,GI_4502564-S,0.621,3.618,up,GPL2700,GSE13052,,0.621,826.0,CAPNS1,0.393,Acute
0.148,1.448,GI_7661605-S,GI_7661605-S,0.534,3.605,up,GPL2700,GSE13052,,0.534,26155.0,NOC2L,0.393,Acute
0.381,2.587,GI_4502144-S,GI_4502144-S,1.371,3.6,up,GPL2700,GSE13052,,1.371,332.0,BIRC5,0.393,Acute
0.213,1.698,GI_10834967-S,GI_10834967-S,0.764,3.594,up,GPL2700,GSE13052,,0.764,4125.0,MAN2B1,0.393,Acute
0.161,1.492,GI_6006000-S,GI_6006000-S,0.577,3.584,up,GPL2700,GSE13052,,0.577,2878.0,GPX3,0.393,Acute
0.301,2.11,GI_37552135-S,GI_37552135-S,1.077,3.581,up,GPL2700,GSE13052,,1.077,,,0.393,Acute
0.179,1.557,GI_8923476-S,GI_8923476-S,0.639,3.573,up,GPL2700,GSE13052,,0.639,54958.0,TMEM160,0.393,Acute
0.181,1.564,GI_37539834-S,GI_37539834-S,0.645,3.57,up,GPL2700,GSE13052,,0.645,9919.0,SEC16A,0.393,Acute
0.188,1.593,GI_31542755-S,GI_31542755-S,0.672,3.57,up,GPL2700,GSE13052,,0.672,124222.0,PAQR4,0.393,Acute
0.17,1.522,GI_33239446-A,GI_33239446-A,0.606,3.564,up,GPL2700,GSE13052,,0.606,,,0.393,Acute
0.13,1.379,GI_40353205-S,GI_40353205-S,0.464,3.562,up,GPL2700,GSE13052,,0.464,64771.0,C6orf106,0.393,Acute
0.195,1.618,GI_4507840-S,GI_4507840-S,0.694,3.558,up,GPL2700,GSE13052,,0.694,7384.0,UQCRC1,0.393,Acute
0.246,1.831,GI_27436903-S,GI_27436903-S,0.872,3.549,up,GPL2700,GSE13052,,0.872,6150.0,MRPL23,0.393,Acute
0.213,1.689,GI_14591931-S,GI_14591931-S,0.757,3.547,up,GPL2700,GSE13052,,0.757,29927.0,SEC61A1,0.393,Acute
0.238,1.797,GI_5579457-S,GI_5579457-S,0.846,3.546,up,GPL2700,GSE13052,,0.846,8663.0,EIF3C,0.393,Acute
0.189,1.59,GI_33342277-S,GI_33342277-S,0.669,3.544,up,GPL2700,GSE13052,,0.669,80305.0,TRABD,0.393,Acute
0.199,1.63,GI_19913368-S,GI_19913368-S,0.705,3.544,up,GPL2700,GSE13052,,0.705,10607.0,TBL3,0.393,Acute
0.195,1.612,GI_8393008-S,GI_8393008-S,0.689,3.537,up,GPL2700,GSE13052,,0.689,738.0,VPS51,0.596,Acute
0.279,1.979,GI_7669552-S,GI_7669552-S,0.985,3.53,up,GPL2700,GSE13052,,0.985,7415.0,VCP,0.596,Acute
0.239,1.792,GI_42741656-A,GI_42741656-A,0.842,3.52,up,GPL2700,GSE13052,,0.842,9220.0,TIAF1,0.596,Acute
0.204,1.645,GI_21265092-S,GI_21265092-S,0.718,3.517,up,GPL2700,GSE13052,,0.718,64975.0,MRPL41,0.596,Acute
0.271,1.936,GI_39780570-S,GI_39780570-S,0.953,3.517,up,GPL2700,GSE13052,,0.953,55154.0,MSTO1,0.596,Acute
0.448,2.979,GI_23308576-S,GI_23308576-S,1.575,3.515,up,GPL2700,GSE13052,,1.575,26227.0,PHGDH,0.596,Acute
0.159,1.474,GI_31543665-S,GI_31543665-S,0.56,3.514,up,GPL2700,GSE13052,,0.56,6811.0,STX5,0.596,Acute
0.262,1.893,GI_18644884-S,GI_18644884-S,0.921,3.51,up,GPL2700,GSE13052,,0.921,8566.0,PDXK,0.596,Acute
0.171,1.516,GI_11968050-S,GI_11968050-S,0.6,3.503,up,GPL2700,GSE13052,,0.6,64428.0,NARFL,0.596,Acute
0.218,1.699,GI_7305204-S,GI_7305204-S,0.764,3.502,up,GPL2700,GSE13052,,0.764,24137.0,KIF4A,0.596,Acute
0.203,1.636,GI_24942125-S,GI_24942125-S,0.71,3.501,up,GPL2700,GSE13052,,0.71,6472.0,SHMT2,0.596,Acute
0.211,1.67,GI_10835229-S,GI_10835229-S,0.74,3.498,up,GPL2700,GSE13052,,0.74,4495.0,MT1G,0.596,Acute
0.199,1.621,GI_39725633-S,GI_39725633-S,0.697,3.498,up,GPL2700,GSE13052,,0.697,23367.0,LARP1,0.596,Acute
0.204,1.64,GI_39652623-S,GI_39652623-S,0.714,3.492,up,GPL2700,GSE13052,,0.714,9700.0,ESPL1,0.596,Acute
0.217,1.687,GI_40549399-A,GI_40549399-A,0.755,3.48,up,GPL2700,GSE13052,,0.755,1454.0,CSNK1E,0.596,Acute
0.242,1.79,GI_20149644-S,GI_20149644-S,0.84,3.472,up,GPL2700,GSE13052,,0.84,54938.0,SARS2,0.596,Acute
0.19,1.578,GI_37059733-S,GI_37059733-S,0.658,3.47,up,GPL2700,GSE13052,,0.658,3030.0,HADHA,0.596,Acute
0.166,1.492,GI_4557718-S,GI_4557718-S,0.577,3.466,up,GPL2700,GSE13052,,0.577,3978.0,LIG1,0.596,Acute
0.21,1.654,GI_34147601-S,GI_34147601-S,0.726,3.466,up,GPL2700,GSE13052,,0.726,396.0,ARHGDIA,0.596,Acute
0.187,1.566,GI_9558724-S,GI_9558724-S,0.647,3.466,up,GPL2700,GSE13052,,0.647,29894.0,CPSF1,0.596,Acute
0.246,1.805,GI_7657430-S,GI_7657430-S,0.852,3.465,up,GPL2700,GSE13052,,0.852,27044.0,SND1,0.596,Acute
0.217,1.683,GI_38327637-S,GI_38327637-S,0.751,3.46,up,GPL2700,GSE13052,,0.751,10488.0,CREB3,0.596,Acute
0.245,1.798,GI_40288273-S,GI_40288273-S,0.846,3.459,up,GPL2700,GSE13052,,0.846,4521.0,NUDT1,0.596,Acute
0.167,1.491,GI_17158022-S,GI_17158022-S,0.577,3.459,up,GPL2700,GSE13052,,0.577,85395.0,FAM207A,0.596,Acute
0.23,1.735,GI_29171691-A,GI_29171691-A,0.795,3.457,up,GPL2700,GSE13052,,0.795,,,0.596,Acute
0.215,1.673,GI_31543418-S,GI_31543418-S,0.743,3.455,up,GPL2700,GSE13052,,0.743,11284.0,PNKP,0.596,Acute
0.161,1.47,GI_38176150-S,GI_38176150-S,0.556,3.454,up,GPL2700,GSE13052,,0.556,80856.0,KIAA1715,0.596,Acute
0.32,2.146,GI_23510447-S,GI_23510447-S,1.101,3.44,up,GPL2700,GSE13052,,1.101,4174.0,MCM5,0.596,Acute
0.191,1.573,GI_4507856-S,GI_4507856-S,0.654,3.428,up,GPL2700,GSE13052,,0.654,7874.0,USP7,0.596,Acute
0.169,1.494,GI_40354208-S,GI_40354208-S,0.58,3.427,up,GPL2700,GSE13052,,0.58,3425.0,IDUA,0.596,Acute
0.431,2.781,GI_4557436-S,GI_4557436-S,1.476,3.427,up,GPL2700,GSE13052,,1.476,991.0,CDC20,0.596,Acute
0.158,1.454,GI_31657128-S,GI_31657128-S,0.54,3.424,up,GPL2700,GSE13052,,0.54,5198.0,PFAS,0.596,Acute
0.33,2.185,GI_39725701-S,GI_39725701-S,1.127,3.42,up,GPL2700,GSE13052,,1.127,126306.0,JSRP1,0.596,Acute
0.165,1.479,GI_4504222-S,GI_4504222-S,0.565,3.416,up,GPL2700,GSE13052,,0.565,2990.0,GUSB,0.596,Acute
0.214,1.658,GI_26080432-S,GI_26080432-S,0.729,3.41,up,GPL2700,GSE13052,,0.729,91039.0,DPP9,0.596,Acute
0.2,1.603,GI_18375627-A,GI_18375627-A,0.681,3.408,up,GPL2700,GSE13052,,0.681,7916.0,PRRC2A,0.596,Acute
0.202,1.61,GI_37541012-S,GI_37541012-S,0.687,3.406,up,GPL2700,GSE13052,,0.687,80789.0,INTS5,0.596,Acute
0.23,1.723,GI_38202256-A,GI_38202256-A,0.785,3.406,up,GPL2700,GSE13052,,0.785,23193.0,GANAB,0.596,Acute
0.231,1.723,GI_34222322-S,GI_34222322-S,0.785,3.403,up,GPL2700,GSE13052,,0.785,8086.0,AAAS,0.596,Acute
0.156,1.446,GI_40548406-A,GI_40548406-A,0.532,3.399,up,GPL2700,GSE13052,,0.532,57805.0,CCAR2,0.596,Acute
0.242,1.763,GI_27501457-S,GI_27501457-S,0.818,3.386,up,GPL2700,GSE13052,,0.818,63922.0,CHTF18,0.596,Acute
0.252,1.804,GI_4505712-S,GI_4505712-S,0.852,3.384,up,GPL2700,GSE13052,,0.852,5187.0,PER1,0.596,Acute
0.191,1.566,GI_37563696-S,GI_37563696-S,0.647,3.383,up,GPL2700,GSE13052,,0.647,,,0.596,Acute
0.164,1.469,GI_34878803-S,GI_34878803-S,0.555,3.383,up,GPL2700,GSE13052,,0.555,79102.0,RNF26,0.596,Acute
0.159,1.452,GI_25777735-A,GI_25777735-A,0.538,3.378,up,GPL2700,GSE13052,,0.538,8659.0,ALDH4A1,0.596,Acute
0.178,1.516,GI_14917108-S,GI_14917108-S,0.6,3.374,up,GPL2700,GSE13052,,0.6,1173.0,AP2M1,0.596,Acute
0.277,1.91,GI_32698865-S,GI_32698865-S,0.934,3.368,up,GPL2700,GSE13052,,0.934,147841.0,SPC24,0.596,Acute
0.227,1.699,GI_21361913-S,GI_21361913-S,0.764,3.365,up,GPL2700,GSE13052,,0.764,64218.0,SEMA4A,0.596,Acute
0.225,1.691,GI_38327613-A,GI_38327613-A,0.758,3.364,up,GPL2700,GSE13052,,0.758,51614.0,ERGIC3,0.596,Acute
0.243,1.761,GI_7661757-S,GI_7661757-S,0.816,3.357,up,GPL2700,GSE13052,,0.816,,,0.596,Acute
0.253,1.801,GI_7706110-S,GI_7706110-S,0.849,3.352,up,GPL2700,GSE13052,,0.849,51293.0,CD320,0.596,Acute
0.161,1.455,GI_32483393-A,GI_32483393-A,0.541,3.349,up,GPL2700,GSE13052,,0.541,1212.0,CLTB,0.596,Acute
0.218,1.657,GI_21361484-S,GI_21361484-S,0.729,3.349,up,GPL2700,GSE13052,,0.729,26000.0,TBC1D10B,0.596,Acute
0.152,1.423,GI_38683847-S,GI_38683847-S,0.509,3.347,up,GPL2700,GSE13052,,0.509,9158.0,FIBP,0.596,Acute
0.309,2.047,GI_34147481-S,GI_34147481-S,1.034,3.347,up,GPL2700,GSE13052,,1.034,113130.0,CDCA5,0.596,Acute
0.192,1.56,GI_28178836-A,GI_28178836-A,0.642,3.346,up,GPL2700,GSE13052,,0.642,3421.0,IDH3G,0.596,Acute
0.195,1.571,GI_20127505-S,GI_20127505-S,0.652,3.344,up,GPL2700,GSE13052,,0.652,10654.0,PMVK,0.596,Acute
0.166,1.468,GI_33636718-S,GI_33636718-S,0.553,3.34,up,GPL2700,GSE13052,,0.553,10469.0,TIMM44,0.596,Acute
0.152,1.42,GI_7661801-S,GI_7661801-S,0.506,3.34,up,GPL2700,GSE13052,,0.506,29086.0,BABAM1,0.596,Acute
0.27,1.867,GI_4759029-S,GI_4759029-S,0.901,3.336,up,GPL2700,GSE13052,,0.901,9401.0,RECQL4,0.596,Acute
0.223,1.672,GI_41872659-S,GI_41872659-S,0.741,3.331,up,GPL2700,GSE13052,,0.741,51069.0,MRPL2,0.596,Acute
0.155,1.432,GI_42659368-S,GI_42659368-S,0.518,3.331,up,GPL2700,GSE13052,,0.518,,,0.596,Acute
0.236,1.723,GI_13375689-S,GI_13375689-S,0.785,3.32,up,GPL2700,GSE13052,,0.785,79585.0,CORO7,0.596,Acute
0.177,1.503,GI_24308194-S,GI_24308194-S,0.588,3.319,up,GPL2700,GSE13052,,0.588,57176.0,VARS2,0.596,Acute
0.175,1.497,GI_32483373-S,GI_32483373-S,0.582,3.317,up,GPL2700,GSE13052,,0.582,10528.0,NOP56,0.596,Acute
0.195,1.566,GI_22325361-A,GI_22325361-A,0.647,3.316,up,GPL2700,GSE13052,,0.647,55367.0,PIDD,0.596,Acute
0.519,3.294,GI_31652260-S,GI_31652260-S,1.72,3.316,up,GPL2700,GSE13052,,1.72,4605.0,MYBL2,0.596,Acute
0.173,1.488,GI_20143947-S,GI_20143947-S,0.573,3.314,up,GPL2700,GSE13052,,0.573,7156.0,TOP3A,0.596,Acute
0.333,2.15,GI_21699069-S,GI_21699069-S,1.104,3.313,up,GPL2700,GSE13052,,1.104,122509.0,IFI27L1,0.596,Acute
0.315,2.058,GI_41281520-S,GI_41281520-S,1.041,3.311,up,GPL2700,GSE13052,,1.041,9918.0,NCAPD2,0.596,Acute
0.201,1.585,GI_4826959-S,GI_4826959-S,0.664,3.31,up,GPL2700,GSE13052,,0.664,5859.0,QARS,0.596,Acute
0.169,1.473,GI_18105006-S,GI_18105006-S,0.559,3.307,up,GPL2700,GSE13052,,0.559,790.0,CAD,0.596,Acute
0.141,1.382,GI_42658342-S,GI_42658342-S,0.467,3.306,up,GPL2700,GSE13052,,0.467,,,0.596,Acute
0.139,1.372,GI_31657108-S,GI_31657108-S,0.457,3.296,up,GPL2700,GSE13052,,0.457,8427.0,ZNF282,0.782,Acute
0.245,1.749,GI_27754193-S,GI_27754193-S,0.806,3.293,up,GPL2700,GSE13052,,0.806,,,0.782,Acute
0.357,2.257,GI_42716278-A,GI_42716278-A,1.175,3.292,up,GPL2700,GSE13052,,1.175,3069.0,HDLBP,0.782,Acute
