Denominator(s+s0),Fold Change,Gene ID,Gene Name,Numerator(r),Score(d),direction,gpl,gse,index,log2foldChange,myGeneId,myGeneSym,q-value(%),subset
0.199,0.785,GI_21327714-S,GI_21327714-S,-0.349,-1.757,down,GPL2700,GSE13052,,-0.349,10915.0,TCERG1,12.408,Acute
0.274,0.716,GI_5031726-S,GI_5031726-S,-0.482,-1.757,down,GPL2700,GSE13052,,-0.482,2960.0,GTF2E1,12.408,Acute
0.155,0.828,GI_6678763-S,GI_6678763-S,-0.272,-1.757,down,GPL2700,GSE13052,,-0.272,22823.0,MTF2,12.408,Acute
0.224,0.761,GI_23346419-S,GI_23346419-S,-0.393,-1.756,down,GPL2700,GSE13052,,-0.393,4798.0,NFRKB,12.408,Acute
0.246,0.742,GI_8922276-S,GI_8922276-S,-0.431,-1.755,down,GPL2700,GSE13052,,-0.431,55092.0,TMEM51,12.408,Acute
0.265,0.725,GI_31077203-I,GI_31077203-I,-0.464,-1.754,down,GPL2700,GSE13052,,-0.464,,,12.408,Acute
0.208,0.777,GI_37546267-S,GI_37546267-S,-0.365,-1.754,down,GPL2700,GSE13052,,-0.365,158835.0,AWAT2,12.408,Acute
0.262,0.727,GI_27436949-S,GI_27436949-S,-0.46,-1.753,down,GPL2700,GSE13052,,-0.46,4001.0,LMNB1,12.408,Acute
0.197,0.787,GI_37541536-S,GI_37541536-S,-0.346,-1.752,down,GPL2700,GSE13052,,-0.346,,,12.408,Acute
0.17,0.814,GI_31652253-S,GI_31652253-S,-0.297,-1.752,down,GPL2700,GSE13052,,-0.297,4117.0,MAK,12.408,Acute
0.288,0.705,GI_4503780-S,GI_4503780-S,-0.504,-1.751,down,GPL2700,GSE13052,,-0.504,2358.0,FPR2,12.408,Acute
0.435,0.59,GI_33695094-S,GI_33695094-S,-0.761,-1.751,down,GPL2700,GSE13052,,-0.761,10890.0,RAB10,12.408,Acute
0.181,0.802,GI_29735784-S,GI_29735784-S,-0.318,-1.751,down,GPL2700,GSE13052,,-0.318,57594.0,HOMEZ,12.408,Acute
0.233,0.754,GI_38201709-I,GI_38201709-I,-0.408,-1.751,down,GPL2700,GSE13052,,-0.408,10521.0,DDX17,12.408,Acute
0.184,0.8,GI_21464104-S,GI_21464104-S,-0.322,-1.75,down,GPL2700,GSE13052,,-0.322,7528.0,YY1,12.408,Acute
0.329,0.672,GI_21464140-I,GI_21464140-I,-0.574,-1.747,down,GPL2700,GSE13052,,-0.574,11215.0,AKAP11,12.408,Acute
0.163,0.821,GI_42544131-A,GI_42544131-A,-0.284,-1.743,down,GPL2700,GSE13052,,-0.284,6296.0,ACSM3,12.408,Acute
0.255,0.735,GI_4503534-S,GI_4503534-S,-0.443,-1.741,down,GPL2700,GSE13052,,-0.443,1977.0,EIF4E,12.408,Acute
0.192,0.793,GI_27886536-I,GI_27886536-I,-0.335,-1.74,down,GPL2700,GSE13052,,-0.335,488.0,ATP2A2,12.408,Acute
0.255,0.735,GI_33300662-S,GI_33300662-S,-0.444,-1.74,down,GPL2700,GSE13052,,-0.444,84333.0,PCGF5,12.408,Acute
0.241,0.748,GI_40254470-S,GI_40254470-S,-0.42,-1.74,down,GPL2700,GSE13052,,-0.42,7368.0,UGT8,12.408,Acute
0.407,0.612,GI_22202618-A,GI_22202618-A,-0.709,-1.74,down,GPL2700,GSE13052,,-0.709,1514.0,CTSL,12.408,Acute
0.186,0.799,GI_31341850-S,GI_31341850-S,-0.323,-1.74,down,GPL2700,GSE13052,,-0.323,,,12.408,Acute
0.264,0.728,GI_33946268-S,GI_33946268-S,-0.459,-1.739,down,GPL2700,GSE13052,,-0.459,8976.0,WASL,12.408,Acute
0.189,0.797,GI_32306540-S,GI_32306540-S,-0.328,-1.737,down,GPL2700,GSE13052,,-0.328,54802.0,TRIT1,12.408,Acute
0.155,0.83,GI_38505265-S,GI_38505265-S,-0.27,-1.737,down,GPL2700,GSE13052,,-0.27,116092.0,DNTTIP1,12.408,Acute
0.28,0.714,GI_4506852-S,GI_4506852-S,-0.486,-1.735,down,GPL2700,GSE13052,,-0.486,6375.0,XCL1,12.408,Acute
0.16,0.825,GI_37547050-S,GI_37547050-S,-0.277,-1.735,down,GPL2700,GSE13052,,-0.277,57643.0,ZSWIM5,12.408,Acute
0.209,0.778,GI_14790134-S,GI_14790134-S,-0.363,-1.735,down,GPL2700,GSE13052,,-0.363,7978.0,MTERF,12.408,Acute
0.425,0.6,GI_29550859-S,GI_29550859-S,-0.737,-1.734,down,GPL2700,GSE13052,,-0.737,64083.0,GOLPH3,12.408,Acute
